response_id,research_id,respondent_id,object,translated_response,combined_response,final_response,originality_rater02,utility_rater02,originality_rater01,utility_rater01
18,CEG202217,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,start fire,use book as start fire,use book as start fire,NA,NA,2,4
19,CEG202218,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
20,CEG202219,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,prop up wobbly table leg,use book as prop up wobbly table leg,use book as prop up wobbly table leg,NA,NA,3,4
21,CEG202220,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,coaster for drinks (to prevent water rings on furniture),use book as coaster for drinks (to prevent water rings on furniture),use book for coaster for drinks (to prevent water rings on furniture),2,5,2,5
21,CEG202220,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,door holder,use book as door holder,use book as door holder,NA,NA,2,5
22,CEG202221,cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
23,CEG202222,cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,book,hold open window,use book as hold open window,use book as hold open window,NA,NA,2,5
24,CEG202223,cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,book,coaster for hot beverage,use book as coaster for hot beverage,use book for coaster for hot beverage,NA,NA,2,5
25,CEG202224,cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,book,level table or shelf,use book as level table or shelf,use book as level table or shelf,2,4,3,4
26,CEG202225,cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,book,improvised weapon in self-defense or attack,use book as improvised weapon in self-defense or attack,use book as improvised weapon in self-defense or attack,NA,NA,2,3
27,CEG202226,cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,lampshade,use book as lampshade,use book as lampshade,NA,NA,4,3
28,CEG202227,cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,Turn old book into secret compartment,use book as Turn old book into secret compartment,use book as Turn old book into secret compartment,NA,NA,3,4
29,CEG202228,cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,coasters for your drinks,use book as coasters for your drinks,use book for coasters for your drinks,NA,NA,2,5
30,CEG202229,cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,Build fort out of old books,use book as Build fort out of old books,use book as Build fort out of old books,NA,NA,4,3
31,CEG202230,cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,Donate books to your local library or hospital waiting room,use book as Donate books to your local library or hospital waiting room,use book as Donate books to your local library or hospital waiting room,NA,NA,1,5
32,CEG202231,cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,Give new twist to old favorite by reading it in character voices,use book as Give new twist to old favorite by reading it in character voices,use book as Give new twist to old favorite by reading it in character voices,NA,NA,1,5
33,CEG202232,cmpl-4zrXf5f89HctStj42UI8NCmMxujME,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
34,CEG202233,cmpl-4zrXf5f89HctStj42UI8NCmMxujME,book,start fire,use book as start fire,use book as start fire,NA,NA,2,4
35,CEG202234,cmpl-4zrXf5f89HctStj42UI8NCmMxujME,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
36,CEG202235,cmpl-4zrXf5f89HctStj42UI8NCmMxujME,book,prop up wobbly table or chair,use book as prop up wobbly table or chair,use book as prop up wobbly table or chair,2,4,3,4
37,CEG202236,cmpl-4zrXf5f89HctStj42UI8NCmMxujME,book,weapon (for self-defense or attack),use book as weapon (for self-defense or attack),use book for weapon (for self-defense or attack),NA,NA,3,3
38,CEG202237,cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
39,CEG202238,cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
40,CEG202239,cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,book,prop up wobbly table leg,use book as prop up wobbly table leg,use book as prop up wobbly table leg,NA,NA,3,4
41,CEG202240,cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,book,make small shelf or ledge,use book as make small shelf or ledge,use book to make small shelf or ledge,NA,NA,3,4
42,CEG202241,cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,book,hold open window or door,use book as hold open window or door,use book as hold open window or door,NA,NA,2,5
43,CEG202242,cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
44,CEG202243,cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,book,level table or shelf,use book as level table or shelf,use book as level table or shelf,2,4,3,4
45,CEG202244,cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
46,CEG202245,cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,book,make impromptu stool or chair,use book as make impromptu stool or chair,use book to make impromptu stool or chair,3,3,3,3
47,CEG202246,cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,book,used in place of cutting board when slicing vegetables or meat,use book as used in place of cutting board when slicing vegetables or meat,use book as used in place of cutting board when slicing vegetables or meat,NA,NA,4,4
48,CEG202247,cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
49,CEG202248,cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,book,keep table level,use book as keep table level,use book as keep table level,NA,NA,3,4
50,CEG202249,cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,book,make paperweight,use book as make paperweight,use book to make paperweight,NA,NA,2,5
51,CEG202250,cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,book,coaster for hot drinks,use book as coaster for hot drinks,use book for coaster for hot drinks,NA,NA,2,5
52,CEG202251,cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,book,hold open window or door,use book as hold open window or door,use book as hold open window or door,NA,NA,2,5
54,CEG202252,cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
55,CEG202253,cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,book,start fire in emergency situation,use book as start fire in emergency situation,use book as start fire in emergency situation,NA,NA,2,4
56,CEG202254,cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,book,coaster for your beverage,use book as coaster for your beverage,use book for coaster for your beverage,NA,NA,2,5
57,CEG202255,cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,book,level table or surface,use book as level table or surface,use book as level table or surface,NA,NA,3,4
58,CEG202256,cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,book,used as decoration on shelf or mantelpiece,use book as used as decoration on shelf or mantelpiece,use book as used as decoration on shelf or mantelpiece,NA,NA,2,4
59,CEG202257,cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
60,CEG202258,cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,start fire,use book as start fire,use book as start fire,NA,NA,2,4
61,CEG202259,cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,prop up table,use book as prop up table,use book as prop up table,NA,NA,3,4
62,CEG202260,cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
62,CEG202260,cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,hold open door,use book as hold open door,use book as hold open door,NA,NA,2,5
63,CEG202261,cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,hold open window,use book as hold open window,use book as hold open window,NA,NA,2,5
64,CEG202262,cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW,book,make paper,use book as make paper,use book to make paper,NA,NA,1,4
65,CEG202263,cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
66,CEG202264,cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,level table or shelf,use book as level table or shelf,use book as level table or shelf,2,4,3,4
67,CEG202265,cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
68,CEG202266,cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,make collage or scrapbook,use book as make collage or scrapbook,use book to make collage or scrapbook,NA,NA,2,5
69,CEG202267,cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,used as kindling for fire,use book as used as kindling for fire,use book for used for kindling for fire,NA,NA,2,4
821,CEG202268,cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,bottle,use book as bottle,use book as bottle,NA,NA,4,1
70,CEG202268,cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb,book,can,use book as can,use book as can,NA,NA,4,1
71,CEG202269,cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
72,CEG202270,cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,book,level table or other surface,use book as level table or other surface,use book as level table or other surface,NA,NA,3,4
73,CEG202271,cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,book,prop up wobbly chair or couch,use book as prop up wobbly chair or couch,use book as prop up wobbly chair or couch,2,4,3,4
74,CEG202272,cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
75,CEG202273,cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw,book,door stop in open doorway to help,use book as door stop in open doorway to help,use book as door stop in open doorway to help,NA,NA,2,5
76,CEG202274,cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
77,CEG202275,cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,level table or shelf,use book as level table or shelf,use book as level table or shelf,2,4,3,4
78,CEG202276,cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
79,CEG202277,cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,keep papers from blowing away in wind,use book as keep papers from blowing away in wind,use book as keep papers from blowing away in wind,2,5,2,5
80,CEG202278,cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,make small step stool,use book as make small step stool,use book to make small step stool,3,3,3,4
81,CEG202279,cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu,book,book,use book as book,use book as book,NA,NA,1,5
82,CEG202280,cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
83,CEG202281,cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,prop up wobbly table,use book as prop up wobbly table,use book as prop up wobbly table,NA,NA,3,4
84,CEG202282,cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,make paper airplane,use book as make paper airplane,use book to make paper airplane,NA,NA,2,5
85,CEG202283,cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,used as kindling for fire,use book as used as kindling for fire,use book for used for kindling for fire,NA,NA,2,4
86,CEG202284,cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,absorb spilled liquid,use book as absorb spilled liquid,use book as absorb spilled liquid,NA,NA,4,3
87,CEG202285,cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG,book,collection of books,use book as collection of books,use book as collection of books,NA,NA,2,5
88,CEG202286,cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,book,door stop,use book as door stop,use book as door stop,NA,NA,2,5
89,CEG202287,cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,book,level table,use book as level table,use book as level table,2,4,3,4
90,CEG202288,cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,book,prop up wobbly chair,use book as prop up wobbly chair,use book as prop up wobbly chair,2,4,3,4
91,CEG202289,cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
92,CEG202290,cmpl-4zrYM3srgr0AI600HuaSfbe20ECSu,book,make small stool or side table,use book as make small stool or side table,use book to make small stool or side table,NA,NA,3,3
94,CEG202291,cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
95,CEG202292,cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,level table or chair,use book as level table or chair,use book as level table or chair,2,4,3,4
96,CEG202293,cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
96,CEG202293,cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,prop open door,use book as prop open door,use book as prop open door,NA,NA,2,5
97,CEG202294,cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,prop open window,use book as prop open window,use book as prop open window,NA,NA,2,5
98,CEG202295,cmpl-4zrYSw9ZuzkGoOZpvQWkzfHkJCPVP,book,coaster for hot beverage,use book as coaster for hot beverage,use book for coaster for hot beverage,NA,NA,2,5
100,CEG202296,cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
101,CEG202297,cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,book,level table or chair,use book as level table or chair,use book as level table or chair,2,4,3,4
102,CEG202298,cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
103,CEG202299,cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,book,prop up wobbly leg on piece of furniture,use book as prop up wobbly leg on piece of furniture,use book as prop up wobbly leg on piece of furniture,NA,NA,3,4
104,CEG202300,cmpl-4zrYYESZQhEvKOpsl2Y3ne59QvPUs,book,used as fuel for fire,use book as used as fuel for fire,use book for used for fuel for fire,NA,NA,2,4
105,CEG202301,cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,book,door stop,use book as door stop,use book as door stop,NA,NA,2,5
106,CEG202302,cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,book,level table or shelf,use book as level table or shelf,use book as level table or shelf,2,4,3,4
107,CEG202303,cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,book,prop up wobbly chair or table leg,use book as prop up wobbly chair or table leg,use book as prop up wobbly chair or table leg,2,4,3,4
108,CEG202304,cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
109,CEG202305,cmpl-4zrYcXgHic5zBGK8skxbt7IwK8Ok2,book,smash spiders or other bugs,use book as smash spiders or other bugs,use book as smash spiders or other bugs,NA,NA,2,5
110,CEG202306,cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
111,CEG202307,cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,level table or chair,use book as level table or chair,use book as level table or chair,2,4,3,4
112,CEG202308,cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
113,CEG202309,cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,prop up wobbly table leg,use book as prop up wobbly table leg,use book as prop up wobbly table leg,NA,NA,3,4
114,CEG202310,cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,used as kindling for fire,use book as used as kindling for fire,use book for used for kindling for fire,NA,NA,2,4
115,CEG202311,cmpl-4zrYhuBnwno40N3NzfKumie34U6k8,book,book,use book as book,use book as book,NA,NA,1,5
116,CEG202312,cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,Make book into lampshade,use book as Make book into lampshade,use book as Make book into lampshade,NA,NA,4,3
822,CEG202313,cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,timer,use book as timer,use book as timer,NA,NA,5,2
117,CEG202313,cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,clock by gluing numbers to cover and attaching hands,use book as clock by gluing numbers to cover and attaching hands,use book to clock by gluing numbers to cover and attaching hands,NA,NA,5,2
118,CEG202314,cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,Create sculpture or collage by decoupaging old book pages onto object,use book as Create sculpture or collage by decoupaging old book pages onto object,use book as Create sculpture or collage by decoupaging old book pages onto object,NA,NA,3,4
119,CEG202315,cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,Make coasters out of book pages sealed with mod podge,use book as Make coasters out of book pages sealed with mod podge,use book as Make coasters out of book pages sealed with mod podge,2,4,2,4
120,CEG202316,cmpl-4zrYkCsqHkasbROCFVWUUjNxTKWA5,book,Fold pages of old book,use book as Fold pages of old book,use book as Fold pages of old book,NA,NA,2,5
121,CEG202317,cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
122,CEG202318,cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,book,level table or shelf,use book as level table or shelf,use book as level table or shelf,2,4,3,4
123,CEG202319,cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
124,CEG202320,cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,book,make collage or sculpture,use book as make collage or sculpture,use book to make collage or sculpture,NA,NA,2,4
125,CEG202321,cmpl-4zrYpCuQ5hsc5BzfI4p1eiCINiTKw,book,used as fuel for fire,use book as used as fuel for fire,use book for used for fuel for fire,NA,NA,2,4
127,CEG202322,cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,book,door stop,use book as door stop,use book as door stop,NA,NA,2,5
128,CEG202323,cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,book,balance wobbly table,use book as balance wobbly table,use book as balance wobbly table,NA,NA,3,4
129,CEG202324,cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
130,CEG202325,cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,book,prop up wonky picture frame,use book as prop up wonky picture frame,use book as prop up wonky picture frame,NA,NA,3,4
131,CEG202326,cmpl-4zrYsthVkMmBWLB5euet6UOY3DuCE,book,make small stool more comfortable,use book as make small stool more comfortable,use book to make small stool more comfortable,3,3,3,3
133,CEG202327,cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
134,CEG202328,cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,book,prop up wobbly table,use book as prop up wobbly table,use book as prop up wobbly table,NA,NA,3,4
135,CEG202329,cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,book,coaster for your cold beverage,use book as coaster for your cold beverage,use book for coaster for your cold beverage,NA,NA,2,5
136,CEG202330,cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,book,hold open window,use book as hold open window,use book as hold open window,NA,NA,2,5
137,CEG202331,cmpl-4zrYvKNbYe9QLba3L9kPiyeRSNAdt,book,paperweight on your desk,use book as paperweight on your desk,use book as paperweight on your desk,2,5,1,5
139,CEG202332,cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,book,Make book into clock by attaching clock hands to cover,use book as Make book into clock by attaching clock hands to cover,use book to Make book into clock by attaching clock hands to cover,NA,NA,5,2
140,CEG202333,cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,book,secret hiding place by cutting out square hole in center of pages,use book as secret hiding place by cutting out square hole in center of pages,use book as secret hiding place by cutting out square hole in center of pages,NA,NA,3,5
141,CEG202334,cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,book,Use old book as decoration by stacking it on top of other books or placing it in empty frame,use book as Use old book as decoration by stacking it on top of other books or placing it in empty frame,use book as Use old book as decoration by stacking it on top of other books or placing it in empty frame,NA,NA,3,3
142,CEG202335,cmpl-4zrYzrBuvP3imgFgz5iKgDWoCMvF2,book,Repurpose hardcover book into photo,use book as Repurpose hardcover book into photo,use book as Repurpose hardcover book into photo,NA,NA,3,4
143,CEG202336,cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
144,CEG202337,cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,level table,use book as level table,use book as level table,2,4,3,4
145,CEG202338,cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,prop up wobbly chair,use book as prop up wobbly chair,use book as prop up wobbly chair,2,4,3,4
146,CEG202339,cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
147,CEG202340,cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,make papier-mache mask or sculpture,use book as make papier-mache mask or sculpture,use book to make papier-mache mask or sculpture,NA,NA,3,3
147,CEG202341,cmpl-4zrZ42wRutcDFNibsKTG97iSLThCM,book,make papier-mache mask or sculpture,use book as make papier-mache mask or sculpture,use book to make papier-mache mask or sculpture,NA,NA,3,3
148,CEG202342,cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
149,CEG202343,cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,book,start fire,use book as start fire,use book as start fire,NA,NA,2,4
150,CEG202344,cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,book,coaster for your drink,use book as coaster for your drink,use book for coaster for your drink,2,5,2,5
151,CEG202345,cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,book,prop up table or shelf,use book as prop up table or shelf,use book as prop up table or shelf,NA,NA,3,4
152,CEG202346,cmpl-4zrZ6iqXWuJnn7X7Ou7Up61L217rn,book,cut up and made into paper airplanes or origami shapes,use book as cut up and made into paper airplanes or origami shapes,use book as cut up and made into paper airplanes or origami shapes,NA,NA,2,4
153,CEG202347,cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
154,CEG202348,cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,book,level table or piece of furniture,use book as level table or piece of furniture,use book as level table or piece of furniture,NA,NA,3,4
155,CEG202349,cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,book,paperweight,use book as paperweight,use book as paperweight,NA,NA,2,5
156,CEG202350,cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,book,decorate room or shelf,use book as decorate room or shelf,use book to decorate room or shelf,2,5,2,4
157,CEG202351,cmpl-4zrZAUmJ0wliAvLrrK2j6rzVmvpKC,book,used as part of centerpieces for party or event,use book as used as part of centerpieces for party or event,use book for used for part of centerpieces for party or event,NA,NA,2,4
158,CEG202352,cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,book,doorstop,use book as doorstop,use book as doorstop,NA,NA,2,5
159,CEG202353,cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,book,level table or other surface,use book as level table or other surface,use book as level table or other surface,NA,NA,3,4
160,CEG202354,cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,book,prop open window,use book as prop open window,use book as prop open window,NA,NA,2,5
161,CEG202355,cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,book,coaster for hot beverage,use book as coaster for hot beverage,use book for coaster for hot beverage,NA,NA,2,5
162,CEG202356,cmpl-4zrZF2zTP1YbQKy7UTpONmDqWXo46,book,weight to hold down papers or other materials,use book as weight to hold down papers or other materials,use book as weight to hold down papers or other materials,NA,NA,2,5
163,CEG202357,cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,fork,Use it as back scratcher,use fork as Use it as back scratcher,use fork as Use it as back scratcher,2,5,2,5
164,CEG202358,cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,fork,Use it to pick up small items like coins or beads,use fork as Use it to pick up small items like coins or beads,use fork as Use it to pick up small items like coins or beads,2,5,2,5
165,CEG202359,cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,fork,Use it as hairpin or hair tie,use fork as Use it as hairpin or hair tie,use fork to Use it to hairpin or hair tie,2,4,2,4
166,CEG202360,cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO,fork,Turn it into miniature shovel for potted plants,use fork as Turn it into miniature shovel for potted plants,use fork for Turn it into miniature shovel for potted plants,2,4,2,4
